,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
78,-943735972,261.0,12,0,301.0,14,2,298.0,14,0,254.0,13,2
79,-1709612379,262.0,13,0,391.0,12,2,289.0,10,0,263.0,10,2
80,-548448951,276.0,15,0,305.0,6,4,248.0,5,0,221.0,8,1
81,-411851810,253.0,12,0,392.0,13,1,328.0,15,0,281.0,13,2
82,-1693190866,502.0,4,0,260.0,8,4,277.0,7,0,313.0,8,2
83,1256028015,329.0,11,0,258.0,12,0,258.0,12,0,258.0,12,0
84,-961293998,373.0,20,0,214.0,19,2,273.0,13,0,265.0,14,1
85,-1442542793,373.0,16,0,342.0,12,0,342.0,12,0,342.0,12,0
86,1510789157,266.0,13,0,310.0,14,2,262.0,13,0,286.0,12,1
87,991019771,360.0,8,0,252.0,11,3,284.0,12,0,261.0,12,3
88,-795535632,319.0,18,0,262.0,13,1,324.0,13,0,263.0,12,1
89,-2142970926,253.0,8,0,339.0,12,1,255.0,11,0,319.0,11,1
90,-1480005389,312.0,14,0,218.0,12,3,275.0,13,0,261.0,15,3
91,1828992968,251.0,8,0,313.0,8,2,353.0,5,0,314.0,6,0
92,218296567,283.0,19,0,276.0,2,2,346.0,3,0,260.0,2,1
93,-1610456302,318.0,7,0,265.0,11,1,251.0,10,0,346.0,11,0
94,-1845262469,260.0,20,0,257.0,12,2,273.0,12,0,309.0,13,1
95,-1277561871,283.0,18,0,271.0,14,1,300.0,17,0,341.0,19,1
96,-652236797,291.0,5,0,274.0,7,2,216.0,9,0,309.0,8,3
97,-2088847865,326.0,9,0,268.0,17,0,268.0,17,0,268.0,17,0
98,-689650393,257.0,14,0,305.0,13,2,270.0,15,0,345.0,13,1
99,-1947359040,259.0,11,0,292.0,11,0,292.0,11,0,292.0,11,0
