,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
82,-1476450207,272.0,21,0,263.0,15,3,285.0,13,0,276.0,14,2
83,513582235,258.0,18,0,316.0,15,3,261.0,13,0,295.0,14,3
84,-1605189223,342.0,10,0,259.0,14,0,259.0,14,0,259.0,14,0
85,-1558186008,264.0,8,0,260.0,11,2,366.0,13,0,274.0,12,2
86,581639661,354.0,7,0,254.0,14,4,274.0,16,0,256.0,14,1
87,719756804,263.0,12,0,227.0,11,2,261.0,11,0,220.0,13,2
88,1285548866,275.0,12,0,311.0,15,4,261.0,19,0,278.0,15,2
89,104180443,311.0,9,0,262.0,16,2,267.0,15,0,256.0,16,0
90,-2137298262,265.0,11,0,261.0,18,3,311.0,17,0,263.0,16,1
91,1276114612,244.0,14,0,314.0,8,1,255.0,8,0,284.0,8,1
92,-651005727,323.0,16,0,254.0,17,0,254.0,17,0,254.0,17,0
93,-1846689681,264.0,15,0,273.0,18,2,378.0,19,0,344.0,16,1
94,1565197882,252.0,25,0,343.0,27,0,343.0,27,0,343.0,27,0
95,-944503425,253.0,22,0,330.0,11,0,330.0,11,0,330.0,11,0
96,343747719,263.0,13,0,278.0,9,2,276.0,12,0,296.0,9,1
97,1643276304,310.0,17,0,287.0,21,1,254.0,16,0,520.0,17,1
98,-244857997,265.0,15,0,273.0,13,2,260.0,12,0,264.0,12,2
99,-1538590960,317.0,13,0,327.0,26,0,327.0,26,0,327.0,26,0
